"Non Component Description","Color Code","Type","Location ID","Shift ID","Depth Top","Depth Base","Description","Legend Code","Geology Code","Geology Code 2","Stratum Reference","Remarks","Soil Name","USCS","AASHTO","Consistency Min","Consistency Max","Density Min","Density Max","Color","Moisture","Plasticity","Soil Particle Size","Soil Particle Angularity","Additional Description","Geological formation","Rock Name Qualifier","Rock Name","Rock Grain Size","Bedding Min","Bedding Max","Weathering","Rock Hardness Min","Rock Hardness Conjunction","Rock Hardness Max","Fracture Spacing Min","Fracture Spacing Max","Boundary"
"","","Soil","SB-22","","25.00","","Terminated @ 25.0 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-10","","45.00","100.00","Lean CLAY (CL), stiff, gray, moist, NATIVE","CL","","","","","Lean CLAY","CL","","","","","","","moist","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-36","","50.00","70.00","CLAYEY SAND (SC), dense, dark grayish olive (10Y-5GY 4/2), moist to wet, NATIVE","SC","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-11","","4.50","7.50","SANDY lean CLAY (CL), stiff, gray (10 YR 6/1), dry, fine to coarse sand, medium plasticity, WASTE","CL","","","","","Gravelly Lean CLAY with sand","CL","","","","","","gray (10YR 6/1)","dry","medium plasticity","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-5","","5.00","7.50","SILTY SAND with GRAVEL (SM), grayish white (5 YR 6/2), medium to coarse GRAVEL, fine to medium SAND, WASTE","SM","","","","","","SM","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-7","","9.00","15.00","Poorly-graded SAND with SILT and GRAVEL (SP-SM), loose, greenish gray (GLEY 6/1 10Y), dry, fine to coarse SAND, angular GRAVEL up to 1"", NATIVE","SP-SM","","","","","Silty SAND","SP-SM","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-36","","47.00","50.00","Well graded SAND (SW), very dense, very dark greenish gray (GLEY 3/1 5GY), NATIVE","SW","","","","","","SW","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-37","","40.00","53.00","CLAYEY SAND with GRAVEL (SC), light yellowish brown (10 YR 6/4), medium dense, wet, fine to coarse SAND, low to medium plasticity, NATIVE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-34","","35.00","40.00","medium dense, pale brown (2.5 Y 7/4), coarse to fine GRAVEL, angular to sub rounded, medium to coarse SAND, NATIVE","","","","","","","GP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-13","","9.00","10.00","very dark grayish brown (10YR 3/2), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-2","","33.00","35.00","SEDIMENTARY ROCK (MUDSTONE), slightly weathered, hard, greenish gray, BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-1","","0.00","2.50","GRAVELLY lean CLAY with SAND (CL), light yellowish brown (10 YR 6/4), dry, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-32","","85.10","","Terminated @ 85.1 ft bgs because of SPT and coring refusal. Perched water encountered at 65 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-43","","0.00","20.00","CLAYEY SAND (SC), pale brown (2.5 YR 8/2), dry, moist, few GRAVEL, WASTE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-46","","20.00","35.00","Well graded SAND with CLAY and GRAVEL (SW-SC), medium dense, dark yellowish brown (10 YR 4/6), moist, NATIVE","SW-SC","","","","","","SW-SC","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-40","","30.10","35.00","CLAYEY SAND with GRAVEL (SC), medium dense, grayish brown (10 YR 5/2), wet, NATIVE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-41","","25.00","30.10","Lean CLAY (CL), soft, strong brown (7.5 YR 4/6), wet, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-17","","20.00","25.00"," more black color, well cemented, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-44","","17.50","20.00"," few SAND, yellowish brown (10 YR 5/6), moist, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-42","","7.50","31.00","SANDY lean CLAY (CL), soft, very pale brown (10 YR 8/4), moist, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-14","","15.00","26.50","SANDY lean CLAY with GRAVEL (CL) stiff, very dark gray (GLEY 3/N), WASTE","CL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-20","","15.30","","Terminated @ 15.3 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-10","","50.00","55.00","Very stiff to hard, light grayish brown, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-14","","22.00","25.00","GRAVELLY CLAY (CL), stiff, bluish gray (GLEY 5/10B), dry, angular GRAVEL up to 3"", medium plasticity, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-22","","0.00","10.00","Poorly graded SAND with GRAVEL (SP), dense, dry, some organics (moist), some weathered ANDESITE fragments, NATIVE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-13","","8.00","30.00","moist, light gray (10YR 7/2), NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-39","","10.00","15.00","light yellowish brown (2.5 YR 6/3), dry, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-33","","50.00","65.00"," very dark gray (7.5 YR 3/1), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-12","","80.20","","Terminated @ 80.2 ft bgs because of SPT and coring refusal. Perched water table at 50 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SB-7","","40.00","45.00","fine to medium SAND, hard, greenish gray (GLEY 6/5 BG), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-44","","12.50","17.50","yellowish brown (10 YR 5/6), moist, some SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-5","","50.00","60.42","SANDY LEAN CLAY (CL) very hard, (4/N), dry, low to medium plasticity, fine to medium SAND, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-41","","20.00","25.00"," yellowish brown (10 YR 5/4), medium to coarse SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-29","","10.00","11.50","CLAYEY GRAVEL with SAND (GC), brown (10 YR 5/2), dry, medium plasticity, angular GRAVEL up to 3"", low cementation, NATIVE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-11","","80.00","81.50","(GLEY 6/5G), fine to coarse SAND, NATIVE","","","","","","Lean CLAY with sand","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-35","","20.00","25.00","medium dense, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Rock","SB-24","","5.00","6.00","ANDESITE (BEDROCK), hard, gray, some plasticity, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-15","","30.40","","Terminated @ 30.4 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-10","","95.00","100.00","Lean CLAY with SAND and GRAVEL (CL), stiff, gray, moist, NATIVE","","","","","","Lean CLAY","CL","","","","","","","moist","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-8","","17.00","20.00"," SILTY SAND with GRAVEL (SM), medium dense, reddish brown (5 YR 5/3), dry, fine to coarse SAND, angular GRAVEL up to 2"", NATIVE","","","","","","","SM","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-40","","10.00","15.00","dark grayish brown (10 YR 4/2), some SAND, little GRAVEL, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-6A","","79.00","80.10","slightly weathered, hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-15","","15.00","20.00","Olive brown (2.5 YR 4/3), ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-8","","26.70","30.10","greenish gray (GLEY 5/10BG), damp, fine to medium SAND, low plasticity, <1"" GRAVEL, NATIVE","","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-1","","5.00","5.50","SILTY, CLAYEY GRAVEL with SAND (GC-GM), very dense light yellowish brown (10 YR 6/4), dry, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-19","","10.00","15.00","CLAYEY GRAVEL with SAND (GC), medium dense, very dark grayish brown (10 Y 3/2), dry, medium cementation, fragmented ANDESITE, WASTE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-19","","15.00","20.00","GRAVELLY lean CLAY with SAND (CL), very stiff, very dark grayish brown (10 Y 3/2), dry, medium plasticity, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-45","","2.50","5.00","few fine SAND, hard, light yellowish brown (10 YR 6/3)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-25","","5.00","7.50","Elastic SILT with GRAVEL (MH), dry, hard, gray, weathered ANDESITE, WASTE","MH","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-7","","35.00","40.00"," Lean CLAY with SAND and GRAVEL up to 2"", very hard, greenish gray (GLEY 6/1 5GY), damp, medium to high plasticity, fine to coarse SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-37","","25.00","30.00","CLAYEY GRAVEL with SAND (GC), very dark grayish brown (10 YR 3/2), moist, dense, angular GRAVEL up to 2"", broken ROCK fragments, NATIVE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-14","","0.00","5.00","CLAYEY GRAVEL (GC), dense, pale red (2.5 YR 6/2), dry, WASTE","GC","","","","","Clayey GRAVEL","GC","","","","","","","dry","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-35","","15.00","25.00","CLAYEY SAND (SC), very dense, dark yellowish brown (10 YR 3/4), dry, WASTE","SW-SC","","","","","","SW-SC","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-10","","55.00","60.00","Gray, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-37","","0.00","4.80","Lean CLAY (CL), yellowish brown (10 YR 5/4), dry, trace coarse SANDS, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-32","","62.00","65.00","gray (2.5 YR 5/1), soapy when hydrated, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-19","","60.00","65.00","very stiff, damp, black, fragmented ANDESITE, medium plasticity, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-15","","25.00","30.40","Sedimentary ROCK (SANDSTONE), dark gray (2.5 YR 4/1), ROCK","SANDSTONE","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-34","","10.00","15.00","very stiff, very dark bluish gray (GLEY 2 3/5B), some yellow color white stratified with decomposed ROCK, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-5","","30.00","35.00","gray (5 YR 5/1), medium to coarse SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-19","","0.00","5.00","SANDY lean CLAY (CL), very stiff, very dark greenish gray (GLEY 2 3/10G) dry, medium plasticity, low cementation, WASTE","CL","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-19","","5.00","7.50","CLAYEY SAND (SC), dry, dense, medium cementation, ANDESITE fragments broken, WASTE","SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-38","","51.50","60.30","IGNEOUS ROCK (ANDESITE), slightly weathered, hard, wet, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-7","","0.00","20.00","Sulphur presence in soil, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-42","","11.50","15.00","very pale brown (10 YR 8/3), moist to wet, iron oxide staining, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-18","","45.00","110.00","IGNEOUS ROCK (ANDESITE), moderately weathered, moderately hard, dry, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-1","","2.50","5.00","CLAYEY SAND with GRAVEL (SC), very dense, light yellowish brown (10 YR 6/4), dry, NATIVE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-43","","25.80","","Terminated @ 25.8 ft bgs becasue of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-12","","25.00","41.50","SANDY Lean CLAY (CL), stiff, greenish gray (GLEY 5/1 5GY), moist, fine to coarse grained SAND, medium to high plasticity, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-6A","","16.50","30.00","hard, red (2.5 YR 4/6), dry, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-9","","45.00","50.00"," hard, very dark greenish gray (GLEY 3/5G 1/1), angular GRAVEL up to 2"", medium plasticity, good cementation, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-35","","7.50","15.00","SANDY lean CLAY (CL), medium stiff, brown (10 YR 4/3), moist, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-17","","30.75","35.00","very soft, dry, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-16","","25.00","26.50","SANDY lean CLAY (CL), very stiff, dark gray (2.5 Y 4/1), 64.38 % FINES, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-26","","70.00","","Terminated @ 70.0 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-10","","30.00","35.00","Lean CLAY with SAND and GRAVEL (CL), stiff, gray and brown, moist little fine SAND and GRAVEL, ANDESITE fragments, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-10","","40.00","45.00","CLAYEY SAND with GRAVEL (SC), very dense, dark gray, ANDESITE fragments with some CLAY, wood fragments, NATIVE","SC","","","","","Clayey GRAVEL","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-37","","10.00","15.00","dark grayish brown (2.5 YR 4/2), dry to moist, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-46","","10.00","13.50","Well graded GRAVEL with SAND (GW), medium dense, very dark gray (2.5 YR 3/1), dry, trace CLAY, NATIVE","GW","","","","","","GW-GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-39","","45.00","51.10","IGNEOUS ROCK (ANDESITE), fresh, hard, fine platy structure, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-23","","15.00","16.00","Poorly Graded GRAVEL with SAND (GP), medium dense, dry, dark gray (10 YR 8/4), and pale brown (10 YR 8/4), weathered ANDESITE, WASTE","GP","","","","","","GP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-34","","8.00","10.00","stiff, grayish brown (2.5 Y 5/2), dry, cemented, some yellow color white stratified with decomposed ROCK, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-19","","7.50","10.00","SANDY lean CLAY (CL), stiff, light yellowish brown (10 YR 6/4), dry, medium plasticity, good cementation, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-10","","105.00","110.00"," Greenish gray and grayish brown, slightly moist, lightly cemented, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-45","","49.00","50.00","fresh, hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-35","","14.00","15.00","Strong brown, rock layer, hot cuttings, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-22","","20.00","25.00","moderately weathered, moderately hard, NATIVE BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-12","","7.50","10.00"," Moist, pale brown (2.5 Y 7/4), medium to coarse SAND, big chucks of fragmented ROCKS, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-26","","0.00","15.00","Poorly graded SAND with GRAVEL (SP), reddish brown and light gray, medium dense, dry, some weathered ANDESITE, NATIVE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-24","","60.00","60.10","fresh, hard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-42","","45.00","50.00","fresh, hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-41","","35.00","40.00","IGNEOUS ROCK (ANDESITE), fresh, hard, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-34","","0.00","19.00","GRAVELLY lean CLAY with SAND (CL), very stiff, olive brown (2.5 Y 4/4), dry, fine to coarse SAND, medium plasticity, angular SAND, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-43","","20.00","22.50","Poorly graded GRAVEL with SAND and CLAY (GP-GC), medium dense, dark greyish brown (2.5 YR 4/2), moist, NATIVE","GP-GC","","","","","","GP-GC","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-26","","5.00","","very dense, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-33","","10.00","65.00","IGNEOUS ROCK (ANDESITE), moderately weathered, pinkish gray (7.5 YR 7/2), dry, moderately hard, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-33","","30.00","50.00"," dark gray (7.5 YR 4/1), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-40","","15.00","20.00","CLAYEY SAND (SC), medium dense, vary pale brown (10 YR 7/3), dry, coarse SAND, trace fine GRAVEL, WASTE","SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-36","","25.00","30.00","soil cuttings - large GRAVEL with some SAND, medium dense, greenish gray (GLEY 6/10Y), dry GRAVEL, some fine to coarse moist SAND, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-20","","0.00","11.00","SANDY Lean CLAY (CL), dark brown (10 YR 3/3), medium stiff, wet, no cementation, medium plasticity, some GRAVEL, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-17","","25.00","91.50","IGNEOUS ROCK (ANDESITE), very dark greenish gray (GLEY 3/10Y), wet, fragmented, highly weathered, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-38","","61.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Rock","SB-1","","5.50","45.40","SEDIMENTARY ROCK (MUDSTONE/CLAYSTONE), hard, pale brown, dry, cemented, oxide strains, BEDROCK ","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-38","","30.00","35.00"," dark grayish brown (2.5 Y 4/2), wet, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-15","","20.00","25.00","SILT with SAND (ML) hard, very dark gray (10 YR 4/1), dry, NATIVE","ML","","","","","","ML","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-7","","50.00","55.00"," Lean CLAY with SAND, hard, greenish gray (GLEY 6/1 5GY), medium to high plasticity, fine to medium SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-10","","126.40","","Terminated @ 126.4 ft bgs because of SPT and coring refusal. Perched water table at 92 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-33","","65.00","","Terminated @ 65.0 ft bgs because of SPT and coring refusal. GW encountered @ 20.0 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-10","","93.00","95.00","Gray, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-19","","65.00","91.50","IGNEOUS ROCK (ANDESITE), highly weathered, soft, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-32","","15.00","25.00","medium stiff, dark greenish gray (GLEY 4/1 10GY), secondary color: reddish brown (5 YR 5/4), damp, medium grained SAND, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-14","","5.00","7.50","GRAVELLY Lean CLAY (CL), medium stiff, bluish gray (GLEY 5/10B), dry, angular GRAVEL up to 3"", medium plasticity, WASTE","CL","","","","","Gravelly Lean CLAY with sand","CL","","","","","","","dry","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-32","","40.00","45.00"," very stiff, light brownish gray (10 YR 6/2), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-37","","6.20","19.80","Lean CLAY (CL), light olive brown (2.5 YR 5/4), stiff, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-42","","40.00","50.00","IGENOUS ROCK (ANDESITE), highly weathered, soft, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-6A","","5.00","7.50","very stiff, moist, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-46","","7.50","10.00","Lean CLAY (CL), stiff, light olive brown (2.5 YR 5/3), dry, few SAND, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-35","","33.00","35.00","Lean CLAY (CL), stiff, greenish black (GLEY 2.5/1 10 GY), NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-17","","70.00","80.00","very soft, highly weathered, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-19","","50.00","55.00","CLAYEY SAND (SC), dense, medium plasticity, fine to coarse sand, moderate cementation, pulverized ANDESITE, WASTE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-37","","2.50","4.80"," very stiff, gray (2.5 YR 5/1), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-3","","0.00","5.00","Lean CLAY (CL), hard, yellowish brown (10 YR5/8), dry, NATIVE ","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-3","","7.50","10.00","CLAYEY SAND (SC), very dense, brown (10 YR 5/3), dry, strings of orange/red material, NATIVE ","SC","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-13","","12.00","15.00","Lean CLAY (CL), stiff, dry to moist, yellowish brown (10 YR 5/8), SAND, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-12","","65.00","80.00","greenish gray (GLEY 5/10BG), few GRAVEL, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-32","","77.00","85.10","fresh, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-31","","17.00","40.00","moist, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-7","","45.00","50.00"," Fine to medium SAND, hard, greenish gray (GLEY 6/1 5GY), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-7","","0.00","2.50","CLAYEY GRAVEL with SAND WASTE (GC), dry, light brownish gray (10 YR 6/2), dense, WASTE","GP-GC","","","","","Poorly-graded GRAVEL with clay and sand","GP-GC","","","","","","","dry","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-44","","0.00","5.00","SANDY lean CLAY (CL), light yellowish brown (10 YR 6/2), dry, stiff, some GRAVEL, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-2","","42.00","","Terminated @ 42 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-5","","11.50","15.00","lean CLAY with GRAVEL (GC), dry, reddish brown, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-10","","20.00","30.00","Very stiff, gray, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-37","","4.80","6.20","Fat CLAY (CH), light olive brown (2.5 YR 5/3), dry, hard, NATIVE ","CH","","","","","","CH","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-39","","15.00","25.00","CLAYEY SAND with GRAVEL (GC), medium dense, brown (7.5 YR4/4), dry to moist, little coarse SAND, WASTE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-19","","40.00","45.00","damp, yellowish grayish with black, medium plasticity, medium to coarse grained, < 10 % angular GRAVEL, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-20","","11.00","15.00","Poorly Graded GRAVEL (GP), wet, very dense, angular GRAVEL, < 10 % fines, ANDESITE fragments, NATIVE","GP","","","","","","GP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-44","","25.00","30.10","trace fine SAND, very pale brown (10 YR 8/2), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
