"Non Component Description","Color Code","Type","Location ID","Shift ID","Depth Top","Depth Base","Description","Legend Code","Geology Code","Geology Code 2","Stratum Reference","Remarks","Soil Name","USCS","AASHTO","Consistency Min","Consistency Max","Density Min","Density Max","Color","Moisture","Plasticity","Soil Particle Size","Soil Particle Angularity","Additional Description","Geological formation","Rock Name Qualifier","Rock Name","Rock Grain Size","Bedding Min","Bedding Max","Weathering","Rock Hardness Min","Rock Hardness Conjunction","Rock Hardness Max","Fracture Spacing Min","Fracture Spacing Max","Boundary"
"","","Rock","SB-4","","34.50","75.00","SEDIMENTARY ROCK (MUDSTONE/CLAYSTONE), hard, light gray (2.5 YR 7/1), dry, cemented, BEDROCK ","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-16","","26.50","","Terminated at 26.5 ft bgs as planned. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-44","","45.00","51.50","SANDY lean CLAY (CL), hard, light olive gray (5 Y 6/2), moist, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-18","","35.00","45.00","hard, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-32","","45.00","50.00","hard, greenish gray (GLEY 6/10Y), dry, iron oxide stringes, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-44","","23.50","25.00","very stiff, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-12","","80.00","80.20","SEDIMENTARY ROCK (MUDSTONE), BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-4","","40.00","50.00"," plastic when wet, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-12","","35.00","41.50","Hard, greenish gray (GLEY 5/1 5GY), damp, medium plasticity, cemented, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-28","","11.50","","Terminated @ 11.5 ft bgs as planned, GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-28","","10.00","11.50","CLAYEY GRAVEL (GC), damp to moist, dense, 60% GRAVEL,  medium to coarse, ANDESITE gravel, 4"" dia, NATIVE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-23","","16.00","50.60","IGNEOUS ROCK (ANDESITE), slightly weathered, hard, dark gray (10 YR 3/1), BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-34","","50.00","","Terminated @ 50.0 ft bgs because of SPT and coring refusal. GW encountered @ 19.0 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-43","","15.00","17.00","brown (10 YR 5/3), few GRAVEL, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-19","","35.00","40.00","moist, multicolored, mainly yellowish gray with red, well cemented, medium plasticity, fine to medium, few SAND, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-18","","25.00","45.00","SANDY SILT (ML), little GRAVEL, very stiff, WASTE","ML","","","","","","ML","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-36","","35.00","36.00","Poorly graded SAND (SP), medium dense, yellowish red (5 YR 5/6), saturated, fine to coarse SAND, WASTE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-35","","0.00","7.50","CLAYEY SAND (SC), medium dense, brown (10 YR 4/4), dry, WASTE","SC","","","","","","SC","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-6A","","65.00","70.00","dark gray (GLEY 4/N), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-45","","20.00","26.00","Well graded GRAVEL with SAND and CLAY (GW-GC), loose, light yellowish brown (2.5 YR 6/3), moist, WASTE","GW-GC","","","","","","GW-GC","","","","","","","","","","","","","","","","","","","","","","","","None"
