"Excavation Method","Method - Picklist","Location ID","Shift ID","Depth Top","Depth Base","Type","Date Time Start","Date Time End","Driller Name","Equipment","Shoring Used","Pit Stability","Pit Length","Pit Width","Drill Bit Used","Bit Condition","Barrel Type","Barrel Length","Logger","Date Logged","Remarks","Weather","Method","Drilling Contractor","Mounting"
"","","SB-11","","0.00","2.50","Borehole","2025-10-09T08:18:00","2025-10-09T15:38:00","J. Pattison","Fraste MidRoto Sonic (MRS) XL MAX","","","","","","","","","P. Dahal","","","","Hand Auger","Gregg Drilling",""
"","","SB-33","","0.00","2.50","Borehole","2025-12-01T10:50:00","2025-12-02T15:18:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","A. Mayer","","","","Hand Auger","Gregg Drilling",""
"","","SB-28","","0.00","2.50","Borehole","2025-12-18T14:30:00","2025-12-18T15:15:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish","","","","Hand Auger","Gregg Drilling",""
"","","SB-42","","0.00","2.50","Borehole","2025-11-10T09:50:00","2025-11-10T15:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-43","","2.50","25.80","Borehole","2025-10-29T09:30:00","2025-10-29T15:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-13","","0.00","2.50","Borehole","2025-10-20T09:45:00","2025-10-20T16:45:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-12","","2.50","80.20","Borehole","2025-10-17T08:20:00","2025-10-20T13:10:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","A. Mayer","","","","Sonic","Gregg Drilling",""
"","","SB-44","","2.50","51.50","Borehole","2025-10-30T09:00:00","2025-10-30T14:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-39","","0.00","2.50","Borehole","2025-11-18T10:30:00","2025-11-19T16:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-8","","0.00","2.50","Borehole","2025-10-15T10:50:00","2025-10-15T16:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","P. Bahal","","","","Hand Auger","Gregg Drilling",""
"","","SB-35","","2.50","36.50","Borehole","2025-11-07T08:30:00","2025-11-07T12:35:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-9","","2.50","80.00","Borehole","2025-10-15T07:42:00","2025-10-15T15:50:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","P. Dahal","","","","Sonic","Gregg Drilling",""
"","","SB-21","","0.00","1.00","Borehole","2025-12-12T00:00:00","2025-12-12T00:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","F. Ssewanyana","","","","Hand Auger","Gregg Drilling",""
"","","SB-8","","2.50","40.80","Borehole","2025-10-15T10:50:00","2025-10-15T16:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","P. Bahal","","","","Sonic","Gregg Drilling",""
"","","SB-36","","0.00","2.50","Borehole","2025-10-31T09:00:00","2025-11-03T09:50:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-1","","0.00","2.50","Borehole","2025-10-27T12:30:00","2025-10-27T15:30:00","S. Figueroa ","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling ",""
"","","SB-34","","2.50","51.50","Borehole","2025-11-06T10:15:00","2025-11-06T15:39:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish ","","","","Sonic","Gregg Drilling",""
"","","SB-18","","0.00","2.50","Borehole","2025-12-15T10:45:00","2025-12-16T16:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","A. Mayer","","","","Hand Auger","Gregg Drilling",""
"","","SB-14","","2.50","26.50","Borehole","2025-10-08T15:00:00","2025-10-08T16:40:00","J. Pattison ","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","P. Dahal","","","","Sonic ","Gregg Drilling ",""
"","","SB-40","","0.00","2.50","Borehole","2025-11-17T10:30:00","2025-11-17T14:45:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-3","","0.00","60.10","Borehole","2025-10-24T08:00:00","2025-10-27T14:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-29","","2.50","11.50","Borehole","2025-12-18T08:00:00","2025-12-18T09:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish","","","","Sonic","Gregg Drilling",""
"","","SB-17","","0.00","2.50","Borehole","2025-12-17T14:30:00","2025-12-18T17:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish ","","","","Hand Auger","Gregg Drilling",""
"","","SB-2","","0.00","2.50","Borehole","2025-10-28T09:30:00","2025-10-28T12:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-29","","0.00","2.50","Borehole","2025-12-18T08:00:00","2025-12-18T09:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish","","","","Hand Auger","Gregg Drilling",""
"","","SB-37","","2.50","60.00","Borehole","2025-11-19T08:00:00","2025-11-20T08:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-40","","2.50","50.20","Borehole","2025-11-17T10:30:00","2025-11-17T14:45:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-1","","2.50","45.40","Borehole","2025-10-27T12:30:00","2025-10-27T15:30:00","S. Figueroa ","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling ",""
"","","SB-13","","2.50","30.90","Borehole","2025-10-20T09:45:00","2025-10-20T16:45:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-25","","0.00","2.50","Borehole","2025-12-03T08:30:00","2025-12-03T17:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Fahd","","","","Hand Auger","Gregg Drilling",""
"","","SB-19","","0.00","90.30","Borehole","2025-12-16T16:05:00","2025-12-17T12:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish ","","","","Sonic","Gregg Drilling",""
"","","SB-46","","2.50","51.30","Borehole","2025-11-13T12:30:00","2025-11-14T11:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-14","","0.00","2.50","Borehole","2025-10-08T15:00:00","2025-10-08T16:40:00","J. Pattison","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","P. Dahal","","","","Hand Auger","Gregg Drilling",""
"","","SB-24","","2.50","60.10","Borehole","2025-12-04T10:00:00","2025-12-08T11:15:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Fahd","","","","Sonic","Gregg Drilling",""
"","","SB-39","","2.50","51.10","Borehole","2025-11-18T10:30:00","2025-11-19T16:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic ","Gregg Drilling",""
"","","SB-22","","2.50","25.00","Borehole","","","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Fahd","","","","Sonic","Gregg Drilling",""
"","","SB-16","","2.50","26.50","Borehole","2025-10-21T08:00:00","2025-10-21T10:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-18","","2.50","110.00","Borehole","2025-12-15T10:45:00","2025-12-16T16:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","A. Mayer","","","","Sonic","Gregg Drilling",""
"","","SB-44","","0.00","2.50","Borehole","2025-10-30T09:00:00","2025-10-30T14:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-9","","0.00","2.50","Borehole","2025-10-15T07:42:00","2025-10-15T15:50:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","P. Dahal","","","","Hand Auger","Gregg Drilling",""
"","","SB-6A","","0.00","80.10","Borehole","2025-10-07T15:16:00","2025-10-08T11:30:00","J. Pattison ","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","P. Dahal","","","","Sonic ","Gregg Drilling ",""
"","","SB-41","","0.00","2.50","Borehole","2025-11-11T14:30:00","2025-11-11T16:15:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-16","","0.00","2.50","Borehole","2025-10-21T08:00:00","2025-10-21T10:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-33","","2.50","65.00","Borehole","2025-12-01T10:50:00","2025-12-02T15:18:00","S. Figueroa ","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","A. Mayer","","","","Hand Aguer","Gregg Drilling",""
"","","SB-21","","1.00","45.25","Borehole","2025-12-12T00:00:00","2025-12-12T00:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","F. Ssewanyana ","","","","Sonic ","Gregg Drilling ",""
"","","SB-22","","0.00","2.50","Borehole","","","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Fahd","","","","Hand Auger","Gregg Drilling",""
